TSN,genus
129520,Hyporhygma
129522,Kiefferulus
129525,Lauterborniella
129531,Lipinella
129532,Microchironomus
129535,Microtendipes
129548,Nilothauma
129556,Omisus
129559,Oshia
129561,Pagastiella
129564,Parachironomus
129597,Paracladopelma
129616,Paralauterborniella
129623,Paratendipes
129637,Phaenopsectra
129657,Polypedilum
129730,Robackia
129735,Saetheria
129739,Sergentia
129743,Stelechomyia
129746,Stenochironomus
129785,Stictochironomus
129820,Tribelos
129834,Wirthiella
129837,Xenochironomus
129842,Xestochironomus
129845,Pontomyia
129851,Pseudochironomus
129873,Cladotanytarsus
129884,Constempellina
129887,Corynocera
129889,Krenopsectra
129890,Micropsectra
129932,Nimbocera
129934,Parapsectra
129935,Paratanytarsus
129952,Rheotanytarsus
129962,Stempellina
129969,Stempellinella
129975,Sublettea
129978,Tanytarsus
130038,Zavrelia
130040,Zavreliella
130042,Neozavrelia
130044,Synendotendipes
130046,Endotribelos
130048,Cryptocladopelma
130049,Microcricotopus
130050,Synoricotopus
130051,Prosmittia
130152,Inopus
130156,Actina
130160,Allognosta
130166,Beris
130179,Exodontha
130186,Artemita
130189,Berkshiria
130192,Borboridea
130195,Cactobia
130197,Chalcidomorphina
130199,Cosmariomyia
130202,Eidalimus
130207,Gowdeyana
